SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,4545 Ramona Ave #2,La Verne,CA,91750,289000,1,1.0,La Verne,616,157943,1977,18,469,260,Active,,,http://www.redfin.com/CA/La-Verne/4545-Ramona-Ave-91750/unit-2/home/8040136,PFAR,819000383,N,Y,34.1207232,-117.7905181
MLS Listing,,Single Family Residential,2925 Terrace Ave,Alhambra,CA,91803,658000,3,1.75,Alhambra,1249,5201,1940,18,527,,Active,,,http://www.redfin.com/CA/Alhambra/2925-Terrace-Ave-91803/home/7025360,PFAR,819000676,N,Y,34.0749549,-118.1567247
MLS Listing,,Single Family Residential,14355 E Oak Canyon Dr,Hacienda Heights,CA,91745,1298000,4,3.5,Hacienda Heights,3495,120237,1990,18,371,,Active,,,http://www.redfin.com/CA/Hacienda-Heights/14355-E-Oak-Canyon-Dr-91745/home/7844596,PFAR,819000270,N,Y,34.0003954,-118.0033067
MLS Listing,,Condo/Co-op,5510 Owensmouth Ave #312,Woodland Hills,CA,91367,459000,2,2.0,WHLL - Woodland Hills,1050,67649,1987,18,437,420,Active,,,http://www.redfin.com/CA/Woodland-Hills/5510-Owensmouth-Ave-91367/unit-312/home/8151816,CRMLS,BB19039255,N,Y,34.1714837,-118.6013341
MLS Listing,,Single Family Residential,3158 N St,Sacramento,CA,95816,549900,2,1.0,Sacramento Downtown/Midtown,1202,3999,1922,18,,,Active,,,http://www.redfin.com/CA/Sacramento/3158-N-St-95816/home/19436770,MetroList,19010231,N,Y,38.5678126,-121.4658595
MLS Listing,,Single Family Residential,200 Naples St,San Francisco,CA,94112,899000,3,2.5,Excelsior,,2495,1907,18,,,Active,,,http://www.redfin.com/CA/San-Francisco/200-Naples-St-94112/home/1993920,San Francisco MLS,481475,N,Y,37.7254606,-122.4279009
MLS Listing,,Condo/Co-op,901 S Flower St #507,Los Angeles,CA,90015,699000,1,1.0,C42 - Downtown L.A.,1005,65428,2009,18,696,350,Active,,,http://www.redfin.com/CA/Los-Angeles/901-S-Flower-St-90015/unit-507/home/28913119,CRMLS,BB19039784,N,Y,34.0455377,-118.262437
MLS Listing,,Single Family Residential,26265 Emily Pl,Murrieta,CA,92563,444900,4,3.0,208 - Murrieta-East,2929,6534,2005,18,152,,Active,,,http://www.redfin.com/CA/Murrieta/26265-Emily-Pl-92563/home/6679437,CRMLS,SW19039389,N,Y,33.5534049,-117.1731592
MLS Listing,,Single Family Residential,2979 S Via Belamaria,Ontario,CA,91762,539900,3,2.5,686 - Ontario,2061,2978,2015,18,262,158,Active,,,http://www.redfin.com/CA/Ontario/2979-South-Via-Belamaria-91762/home/109247511,CRMLS,IV19038806,N,Y,34.0195859,-117.6533337
MLS Listing,,Single Family Residential,3 Via Pelayo,Rancho Santa Margarita,CA,92688,839999,4,2.5,R2 - Rancho Santa Margarita Central,2473,5059,1999,18,340,55,Active,,,http://www.redfin.com/CA/Rancho-Santa-Margarita/3-Via-Pelayo-92688/home/5067935,CRMLS,OC19038695,N,Y,33.6254068,-117.6055495
