SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7029 Harvest Ln,Riverside,CA,92506,620000,5,3.0,252 - Riverside,2995,9148,2000,26,207,,Active,March-16-2019 01:00 PM,March-16-2019 04:00 PM,http://www.redfin.com/CA/Riverside/7029-Harvest-Ln-92506/home/6277648,CRMLS,IV19033166,N,Y,33.9316511,-117.388615
MLS Listing,,Condo/Co-op,17 Springwater #63,Irvine,CA,92604,789888,3,2.5,WB - Woodbridge,1653,,1980,26,478,328,Active,,,http://www.redfin.com/CA/Irvine/17-Springwater-92604/unit-63/home/5626804,CRMLS,OC19033624,N,Y,33.6775639,-117.7952926
MLS Listing,,Condo/Co-op,9005 Alcosta Blvd #218,San Ramon,CA,94583,465000,2,2.0,Vintner,1096,,1971,26,424,491,Active,,,http://www.redfin.com/CA/San-Ramon/9005-Alcosta-Blvd-94583/unit-218/home/951978,Bridge MLS,40853206,N,Y,37.7264345,-121.9355797
MLS Listing,,Single Family Residential,6223 Monadnock Way,Oakland,CA,94605,649000,3,1.0,Millmont,1530,2500,1926,26,424,,Active,,,http://www.redfin.com/CA/Oakland/6223-Monadnock-Way-94605/home/1564149,Bridge MLS,40853186,N,Y,37.7748297,-122.1799043
MLS Listing,,Condo/Co-op,418 Brighton,Costa Mesa,CA,92627,363000,2,1.5,C4 - Central Costa Mesa,1282,,1980,26,283,706,Active,,,http://www.redfin.com/CA/Costa-Mesa/418-Brighton-Spgs-92627/unit-30/home/5593553,CRMLS,OC19028007,N,Y,33.6535368,-117.9172826
MLS Listing,,Single Family Residential,1740 Rosalia Dr,Fullerton,CA,92835,835888,3,2.0,83 - Fullerton,1858,11770,1963,26,450,,Active,,,http://www.redfin.com/CA/Fullerton/1740-E-Rosalia-Dr-92835/home/4086954,CRMLS,PW19033308,N,Y,33.9039445,-117.8959953
MLS Listing,,Condo/Co-op,5182 Connecticut Dr #2,Sacramento,CA,95841,179000,2,1.0,Sacramento Arden/Arcade Creek/Vicinity,840,2174,1969,27,,235,Active,,,http://www.redfin.com/CA/Sacramento/5182-Connecticut-Dr-95841/unit-2/home/102080069,MetroList,19008799,N,Y,38.6595491,-121.3339914
MLS Listing,,Townhouse,108 Wild Horse #6,Rancho Santa Margarita,CA,92688,539900,3,2.5,R2 - Rancho Santa Margarita Central,1325,1000,1987,27,407,278,Active,,,http://www.redfin.com/CA/Rancho-Santa-Margarita/108-Wild-Horse-Loop-92688/unit-6/home/5311681,CRMLS,OC19031771,N,Y,33.6479233,-117.5840553
MLS Listing,,Condo/Co-op,716 S Hayward St #2,Anaheim,CA,92804,389500,2,1.5,699 - Not Defined,906,1100,1984,28,430,285,Active,,,http://www.redfin.com/CA/Anaheim/716-S-Hayward-St-92804/unit-2/home/5513403,CRMLS,OC19030150,N,Y,33.8216976,-117.9949468
MLS Listing,,Condo/Co-op,8015 City View Pl,Rancho Cucamonga,CA,91730,459888,3,2.5,688 - Rancho Cucamonga,1865,2000,2013,28,247,333,Active,,,http://www.redfin.com/CA/Rancho-Cucamonga/8015-City-View-Pl-91730/home/45446054,CRMLS,IV19029460,N,Y,34.1084519,-117.6134973
MLS Listing,,Condo/Co-op,201 Folsom St Unit 31C,San Francisco,CA,94105,2575000,2,2.0,South Beach,1495,,2016,31,1722,1160,Active,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-31C/home/112894393,San Francisco MLS,481102,N,Y,37.7886997,-122.39226
MLS Listing,,Condo/Co-op,763 N Madrid Cir,Palm Springs,CA,92262,309000,2,2.0,Palm Springs Central,1052,1307,1972,31,294,480,Active,,,http://www.redfin.com/CA/Palm-Springs/763-N-Madrid-Cir-92262/unit-55/home/5686586,PALM,19-432832PS,N,Y,33.833718,-116.5269513
MLS Listing,,Townhouse,27544 Jasmine Ave,Mission Viejo,CA,92692,535000,3,2.5,MS - Mission Viejo South,1200,,1989,31,446,346,Active,,,http://www.redfin.com/CA/Mission-Viejo/27544-Jasmine-Ave-92692/home/5315042,CRMLS,OC19029445,N,Y,33.5716114,-117.6497641
MLS Listing,,Condo/Co-op,1565 Border Ave Unit D,Corona,CA,92882,249000,1,1.0,248 - Corona,731,1307,1980,31,341,320,Active,,,http://www.redfin.com/CA/Corona/1565-Border-Ave-92882/unit-D/home/6307874,CRMLS,IV19028247,N,Y,33.864422,-117.597161
MLS Listing,,Single Family Residential,1713 Twinberry Ave,Clovis,CA,93619,350000,4,2.0,Clovis,1804,6000,2010,31,194,,Active,,,http://www.redfin.com/CA/Clovis/1713-Twinberry-Ave-93619/home/58348017,FRESNOMLS,517528,N,Y,36.8111749,-119.6480827
MLS Listing,,Single Family Residential,33898 Parador St,Temecula,CA,92592,639900,4,2.5,213 - Temecula-South,3196,8712,2006,31,200,99,Active,,,http://www.redfin.com/CA/Temecula/33898-Parador-St-92592/home/12504458,CRMLS,SW19027270,N,Y,33.4778215,-117.0674295
MLS Listing,,Single Family Residential,2017 Aragon Dr,Pittsburg,CA,94565,624000,4,2.0,San Marco,2120,5688,2015,31,294,,Active,,,http://www.redfin.com/CA/Pittsburg/2017-Aragon-Dr-94565/home/95952298,Bridge MLS,40852686,N,Y,38.0179399,-121.9729367
MLS Listing,,Single Family Residential,74265 Fairway Dr,Palm Desert,CA,92260,389000,3,2.0,Palm Desert South,1413,7841,1951,32,275,,Active,,,http://www.redfin.com/CA/Palm-Desert/74265-Fairway-Dr-92260/home/5904583,PALM,19-432412PS,N,Y,33.7144321,-116.3690121
MLS Listing,,Single Family Residential,916 S Avenida Evelita,Palm Springs,CA,92264,399000,4,2.5,Palm Springs South End,1555,6970,1956,32,257,,Active,,,http://www.redfin.com/CA/Palm-Springs/916-Ave-Evelita-92264/home/6084150,PALM,19-432400PS,N,Y,33.8098274,-116.5023893
MLS Listing,,Condo/Co-op,136 Lake Shore Dr,Rancho Mirage,CA,92270,485000,3,3.0,Rancho Mirage,1888,5663,1988,32,257,725,Active,,,http://www.redfin.com/CA/Rancho-Mirage/136-Lakeshore-Dr-92270/home/12260175,PALM,19-432216PS,N,Y,33.7526175,-116.3962193
MLS Listing,,Single Family Residential,2471 Claremont Ave,Los Feliz,CA,90027,2299999,6,6.0,637 - Los Feliz,4795,8888,1982,32,480,,Active,,,http://www.redfin.com/CA/Los-Angeles/2471-Claremont-Ave-90027/home/7063273,CRMLS,PF19028073,N,Y,34.1047527,-118.2752052
MLS Listing,,Condo/Co-op,5301 Broadway Ter #10,Oakland,CA,94618,1180000,4,2.0,Prime Rockridge,1766,,1928,32,668,769,Active,,,http://www.redfin.com/CA/Oakland/5301-Broadway-Ter-94618/unit-10/home/1904968,Bridge MLS,40852573,N,Y,37.8374622,-122.2478132
MLS Listing,,Single Family Residential,778 Rustic Ln,MOUNTAIN VIEW,CA,94040,2900888,5,3.0,MOUNTAIN VIEW,2412,8000,1975,32,1203,,Active,,,http://www.redfin.com/CA/Mountain-View/778-Rustic-Ln-94040/home/1785749,MLSListings,ML81738121,N,Y,37.3801176,-122.0864581
MLS Listing,,Single Family Residential,1645 S Palmetto Ave,Ontario,CA,91762,484000,4,2.0,686 - Ontario,1800,7800,1973,32,269,,Active,,,http://www.redfin.com/CA/Ontario/1645-S-Palmetto-Ave-91762/home/3924546,CRMLS,IV19025003,N,Y,34.0434243,-117.6674332
MLS Listing,,Condo/Co-op,27 Beacon Way,Aliso Viejo,CA,92656,615000,2,2.5,AV - Aliso Viejo,1638,1000,2010,32,375,348,Active,March-16-2019 01:00 PM,March-16-2019 04:00 PM,http://www.redfin.com/CA/Aliso-Viejo/27-Beacon-Way-92656/home/40103565,CRMLS,OC19026160,N,Y,33.579757,-117.7278136
MLS Listing,,Single Family Residential,23210 Twin Cyn,Grand Terrace,CA,92313,1248000,5,6.0,266 - Grand Terrace,4829,30000,2010,32,258,,Active,,,http://www.redfin.com/CA/Grand-Terrace/23210-Twin-Canyon-Dr-92313/home/44496259,CRMLS,EV19027970,N,Y,34.0412505,-117.2986328
MLS Listing,,Single Family Residential,5948 Snow Leopard Cir,Elk Grove,CA,95757,424500,3,2.0,Elk Grove,1616,4674,2004,33,,,Active,,,http://www.redfin.com/CA/Elk-Grove/5948-Snow-Leopard-Cir-95757/home/19068562,MetroList,19007221,N,Y,38.4014893,-121.4333418
MLS Listing,,Single Family Residential,878 Jefferson St,Oakland,CA,94607,550000,1,1.0,Downtown,683,,2008,33,805,320,Active,,,http://www.redfin.com/CA/Oakland/878-Jefferson-St-94607/unit-878/home/17359416,Bridge MLS,40852472,N,Y,37.8020449,-122.2769445
MLS Listing,,Multi-Family (2-4 Unit),5456 Kester Ave,Sherman Oaks,CA,91411,1149999,4,3.0,SO - Sherman Oaks,2365,6000,1949,33,486,,Active,,,http://www.redfin.com/CA/Sherman-Oaks/5456-Kester-Ave-91411/home/4744926,CRMLS,BB19028104,N,Y,34.170005,-118.457097
MLS Listing,,Single Family Residential,31 Romain St,San Francisco,CA,94114,2485000,3,3.0,Eureka Valley/Dolore,2155,2500,1906,33,1153,,Active,,,http://www.redfin.com/CA/San-Francisco/31-Romain-St-94114/home/1316364,San Francisco MLS,480612,N,Y,37.7563136,-122.4395799
MLS Listing,,Townhouse,2715 Grant Ave Unit B,Redondo Beach,CA,90278,778000,3,2.0,152 - N Redondo Bch/Villas South,1731,7502,1989,33,449,200,Active,,,http://www.redfin.com/CA/Redondo-Beach/2715-Grant-Ave-90278/unit-B/home/160388022,CRMLS,SB19022793,N,Y,33.8693657,-118.3608731
MLS Listing,,Single Family Residential,4526 Carter Dr,El Sereno,CA,90032,549000,1,1.0,621 - El Sereno,630,4237,1933,33,871,,Active,,,http://www.redfin.com/CA/Los-Angeles/4526-Carter-Dr-90032/home/6949499,CRMLS,PF19028149,N,Y,34.080484,-118.1860211
MLS Listing,,Condo/Co-op,1888 Piedmont Rd,SAN JOSE,CA,95132,628888,2,1.0,SAN JOSE,884,1440,1971,34,711,230,Active,,,http://www.redfin.com/CA/San-Jose/1888-Piedmont-Rd-95132/home/934826,MLSListings,ML81737666,N,Y,37.413689,-121.854528
MLS Listing,,Single Family Residential,1609 N Rosewood Ave,Santa Ana,CA,92706,669000,3,2.0,70 - Santa Ana North of First,1470,5974,1948,35,455,,Active,,,http://www.redfin.com/CA/Santa-Ana/1609-N-Rosewood-Ave-92706/home/4506692,CRMLS,OC19025981,N,Y,33.7593588,-117.8815755
MLS Listing,,Townhouse,5877 Central Ave,Newark,CA,94560,728888,3,2.5,Newark,1447,1859,1980,35,504,375,Active,,,http://www.redfin.com/CA/Newark/5877-Central-Ave-94560/home/1846867,Bridge MLS,40852143,N,Y,37.534895,-122.021276
MLS Listing,,Multi-Family (2-4 Unit),202 E 73rd St,Los Angeles,CA,90003,525000,4,3.0,C37 - Metropolitan South,2075,5105,1920,37,253,,Active,,,http://www.redfin.com/CA/Los-Angeles/202-E-73rd-St-90003/home/7284261,CRMLS,SB19025666,N,Y,33.97359,-118.271665
MLS Listing,,Single Family Residential,613 Warrendale Ave,,CA,93065,679000,3,3.0,,1950,4356,1989,37,348,,Active,,,http://www.redfin.com/CA/Simi-Valley/613-Warrendale-Ave-93065/home/4595382,SBMLS,19-351,N,Y,34.2387563,-118.8124984
MLS Listing,,Single Family Residential,642 N Crescent Hts,Los Angeles,CA,90048,1698000,3,3.0,West Hollywood Vicinity,1998,6550,1924,38,850,,Active,,,http://www.redfin.com/CA/Los-Angeles/642-N-Crescent-Heights-Blvd-90048/home/7104614,TheMLS,19-430418,N,Y,34.082811,-118.365551
MLS Listing,,Condo/Co-op,2175 S Coast Hwy #15,Laguna Beach,CA,92651,724900,1,1.5,LV - Laguna Village,625,,1970,38,1160,325,Active,,,http://www.redfin.com/CA/Laguna-Beach/2175-S-Coast-Hwy-92651/unit-15/home/5365964,CRMLS,OC19024128,N,Y,33.5261302,-117.7684701
MLS Listing,,Single Family Residential,29455 Goetz Rd,Menifee,CA,92587,479999,5,3.75,227 - Menifee,2417,201247,1982,38,199,,Active,,,http://www.redfin.com/CA/Canyon-Lake/29455-Goetz-Rd-92587/home/5317939,CRMLS,SW19018874,N,Y,33.6936048,-117.244578
MLS Listing,,Single Family Residential,12192 Skyway Dr,North Tustin,CA,92705,1525000,4,3.5,NTS - North Tustin,3586,20150,1961,38,425,,Active,,,http://www.redfin.com/CA/Santa-Ana/12192-Skyway-Dr-92705/home/4763416,CRMLS,OC19024543,N,Y,33.7520681,-117.7930859
MLS Listing,,Single Family Residential,31385 Corte Tunas,Temecula,CA,92592,568880,5,3.0,211 - Temecula-Central North,3087,8276,1990,38,184,40,Active,,,http://www.redfin.com/CA/Temecula/31385-Corte-Tunas-92592/home/6228374,CRMLS,SW18293975,N,Y,33.5073413,-117.1112194
MLS Listing,,Single Family Residential,1969 Gale Ave,Long Beach,CA,90810,529000,3,2.0,11 - Westside,1398,4957,1985,38,378,,Active,,,http://www.redfin.com/CA/Long-Beach/1969-Gale-Ave-90810/home/7681334,CRMLS,PW19020389,N,Y,33.7929904,-118.2081513
MLS Listing,,Single Family Residential,21006 Cantebury Ln,Lake Forest,CA,92630,979888,4,3.0,LN - Lake Forest North,2814,6000,1988,38,348,100,Active,,,http://www.redfin.com/CA/Lake-Forest/21006-Cantebury-Ln-92630/home/4818038,CRMLS,OC19024069,N,Y,33.6571941,-117.6603749
MLS Listing,,Townhouse,4528 Colbath Ave #210,Sherman Oaks,CA,91423,649000,2,2.0,SO - Sherman Oaks,1573,10577,1978,39,413,560,Active,,,http://www.redfin.com/CA/Sherman-Oaks/4528-Colbath-Ave-91423/unit-210/home/4853963,CRMLS,BB19023999,N,Y,34.1538748,-118.4362649
MLS Listing,,Single Family Residential,1762 Elston Cir,Woodland,CA,95776,474000,4,2.5,Sycamore Ranch,2570,4792,2003,39,,,Active,,,http://www.redfin.com/CA/Woodland/1762-Elston-Cir-95776/home/19488882,MetroList,19006027,N,Y,38.6725721,-121.7404512
MLS Listing,,Condo/Co-op,345 Por La Mar Cir,Santa Barbara,CA,93103,649000,1,1.0,Santa Barbara/east Of State,646,,1996,39,1005,,Active,,,http://www.redfin.com/CA/Santa-Barbara/345-Por-La-Mar-Cir-93103/home/21605896,SBMLS,19-326,N,Y,34.4189239,-119.666215
MLS Listing,,Single Family Residential,1129 Blue Grass Pl,Phillips Ranch,CA,91766,519888,3,2.0,687 - Pomona,1530,6998,1980,39,340,,Active,,,http://www.redfin.com/CA/Pomona/1129-Bluegrass-Pl-91766/home/8055928,CRMLS,BB19023773,N,Y,34.0467543,-117.7845437
MLS Listing,,Vacant Land,3550 Bear River Rd,Lincoln,CA,95648,625000,,,East Lincoln Outside City limits,,2269476,,39,,,Active,,,http://www.redfin.com/CA/Lincoln/3550-Bear-River-Rd-95648/home/109252885,MetroList,19005854,N,Y,38.997334,-121.234941
MLS Listing,,Single Family Residential,3407 Gettysburg Ct,Perris,CA,92570,379999,4,3.0,229 - Perris,2376,5663,2015,39,160,,Active,,,http://www.redfin.com/CA/Perris/3407-Gettysburg-Ct-92570/home/62297643,CRMLS,SW19023159,N,Y,33.7456245,-117.224964
MLS Listing,,Single Family Residential,68460 Concepcion Rd,Cathedral City,CA,92234,433000,5,2.5,Cathedral City North,2637,8712,1988,39,164,,Active,,,http://www.redfin.com/CA/Cathedral-City/68460-Concepcion-Rd-92234/home/6063735,PALM,19-429680PS,N,Y,33.8370165,-116.4670815
MLS Listing,,Single Family Residential,796 N Loraine Ave,Glendora,CA,91741,869000,3,2.0,629 - Glendora,1897,10780,1962,39,458,,Active,,,http://www.redfin.com/CA/Glendora/796-N-Loraine-Ave-91741/home/8037527,CRMLS,PF19022004,N,Y,34.1480083,-117.8459101
MLS Listing,,Single Family Residential,81867 Fiori De Deserto Dr,La Quinta,CA,92253,524900,4,3.5,La Quinta South of HWY 111,3001,11761,2005,39,175,101,Active,,,http://www.redfin.com/CA/La-Quinta/81867-Fiori-del-Deserto-Dr-92253/home/8171675,PALM,19-428904PS,N,Y,33.6297659,-116.235603
MLS Listing,,Single Family Residential,4127 Norris St,Lake Elsinore,CA,92530,404999,3,2.0,245 - Lake Elsinore North,2064,6098,2014,39,196,140,Active,,,http://www.redfin.com/CA/Lake-Elsinore/4127-Norris-St-92530/home/62292438,CRMLS,SW19023484,N,Y,33.7044242,-117.384071
MLS Listing,,Single Family Residential,26711 Dulcinea,Mission Viejo,CA,92691,635000,4,3.0,MS - Mission Viejo South,2230,1950,1976,39,285,330,Active,,,http://www.redfin.com/CA/Mission-Viejo/26711-Dulcinea-92691/home/5018311,CRMLS,OC19021853,N,Y,33.576564,-117.663985
MLS Listing,,Single Family Residential,3743 Sailboat Dr,Discovery Bay,CA,94505,470000,4,2.5,Centex,1782,3600,1999,39,264,,Active,,,http://www.redfin.com/CA/Discovery-Bay/3743-Sailboat-Dr-94505/home/1035251,Bridge MLS,40851723,N,Y,37.8908494,-121.6248559
MLS Listing,,Single Family Residential,5809 Blackbird Ln,La Verne,CA,91750,599888,3,2.0,684 - La Verne,1656,4986,1989,39,362,289,Active,,,http://www.redfin.com/CA/La-Verne/5809-Blackbird-Ln-91750/home/8043963,CRMLS,BB19023407,N,Y,34.1347511,-117.7590066
MLS Listing,,Single Family Residential,11155 Kerrigan Dr,Oakland,CA,94605,1325000,5,5.5,Oakland,4000,55085,1964,40,331,,Active,,,http://www.redfin.com/CA/Oakland/11155-Kerrigan-Dr-94605/home/1342115,San Francisco MLS,480695,N,Y,37.7460622,-122.1337317
MLS Listing,,Townhouse,2 Tribute Ct,Newport Beach,CA,92663,979000,3,2.5,N6 - Newport Heights,1647,2000,1973,42,594,400,Active,,,http://www.redfin.com/CA/Newport-Beach/2-Tribute-Ct-92663/unit-311/home/5349551,CRMLS,OC19017872,N,Y,33.6258016,-117.9380793
MLS Listing,,Single Family Residential,959 Paularino Ave,Costa Mesa,CA,92626,775000,5,2.5,C3 - South Coast Metro,1945,6284,1948,42,398,,Active,,,http://www.redfin.com/CA/Costa-Mesa/959-Paularino-Ave-92626/home/4548422,CRMLS,OC19020830,N,Y,33.6821452,-117.897277
MLS Listing,,Multi-Family (2-4 Unit),1069 Stannage Ave,Albany,CA,94706,1200000,3,2.0,Berkeley/Albany,1461,2500,1958,42,821,,Active,,,http://www.redfin.com/CA/Albany/1069-Stannage-Ave-94706/home/709813,San Francisco MLS,480627,N,Y,37.884725,-122.295009
MLS Listing,,Single Family Residential,430 E Watters Rd,French Camp,CA,95231,359000,3,1.5,French Camp,1208,21780,1948,43,,,Active,,,http://www.redfin.com/CA/French-Camp/430-E-Watters-Rd-95231/home/19784746,MetroList,19005322,N,Y,37.8612082,-121.2711979
MLS Listing,,Multi-Family (2-4 Unit),1726 N Brooks Ave,Fresno,CA,93705,419000,10,6.0,Fresno,4512,13832,1971,44,93,,Active,,,http://www.redfin.com/CA/Fresno/1726-N-Brooks-Ave-93705/home/58383086,FRESNOMLS,516772,N,Y,36.766339,-119.825459
MLS Listing,,Single Family Residential,67350 N Laguna Dr,Cathedral City,CA,92234,569000,3,3.5,Cathedral City North,2101,7841,2015,44,271,640,Active,,,http://www.redfin.com/CA/Cathedral-City/67350-N-Laguna-Dr-92234/home/62301349,PALM,19-428016PS,N,Y,33.8378223,-116.4868103
MLS Listing,,Condo/Co-op,5032 Scholarship,Irvine,CA,92612,625000,1,1.5,AA - Airport Area,1349,,2005,45,463,981,Active,,,http://www.redfin.com/CA/Irvine/5032-Scholarship-92612/home/12255049,CRMLS,OC19019411,N,Y,33.6666191,-117.8528982
MLS Listing,,Single Family Residential,13561 Woolsey Way,Agua Dulce,CA,91390,975000,7,5.0,ADUL - Agua Dulce,5090,203024,1960,45,192,,Active,,,http://www.redfin.com/CA/Santa-Clarita/13561-Woolsey-Way-91390/home/6363242,CRMLS,BB19018316,N,Y,34.4855684,-118.373998
MLS Listing,,Single Family Residential,340 Juanita St,La Habra,CA,90631,500000,4,2.0,87 - La Habra,1102,5883,1957,45,454,,Active,,,http://www.redfin.com/CA/La-Habra/340-Juanita-St-90631/home/4133803,CRMLS,PW19009604,N,Y,33.9345206,-117.9258759
MLS Listing,,Single Family Residential,5082 Don Pio Dr,Woodland Hills,CA,91364,699000,3,2.0,WHLL - Woodland Hills,1742,6850,1961,45,401,,Active,,,http://www.redfin.com/CA/Woodland-Hills/5082-Don-Pio-Dr-91364/home/4180589,CRMLS,BB19019051,N,Y,34.1617457,-118.6042571
MLS Listing,,Single Family Residential,328 Jacquelyn Ln,Petaluma,CA,94952,869000,4,2.5,Petaluma West,2510,3419,2011,46,346,180,Active,,,http://www.redfin.com/CA/Petaluma/328-Jacquelyn-Ln-94952/home/40097357,BAREIS,21901487,N,Y,38.2259533,-122.6156239
MLS Listing,,Single Family Residential,4253 Narraganset Way,Mather,CA,95655,449000,4,3.0,Mather Air Force Base,2857,7758,2000,46,,78,Active,,,http://www.redfin.com/CA/Mather/4253-Narraganset-Way-95655/home/19116062,MetroList,19001121,N,Y,38.5472353,-121.2788421
MLS Listing,,Single Family Residential,8643 Little Wood Cir,Elk Grove,CA,95624,414900,4,3.0,Elk Grove,1918,5223,1997,46,,,Active,,,http://www.redfin.com/CA/Elk-Grove/8643-Little-Wood-Cir-95624/home/19311372,MetroList,19004259,N,Y,38.4376809,-121.3831301
MLS Listing,,Single Family Residential,46155 Sandia Creek Dr,Temecula,CA,92590,881999,4,2.0,202 - Temecula-Hills West,2875,257004,1988,46,307,5,Active,,,http://www.redfin.com/CA/Temecula/46155-Sandia-Creek-Dr-92590/home/6195171,CRMLS,SW19018106,N,Y,33.476648,-117.226936
MLS Listing,,Condo/Co-op,755 Tennessee St #4,San Francisco,CA,94107,1750000,2,2.0,Central Waterfront,1684,,1998,46,1039,483,Active,,,http://www.redfin.com/CA/San-Francisco/755-Tennessee-St-94107/unit-4/home/929005,San Francisco MLS,479932,N,Y,37.7623361,-122.3893544
MLS Listing,,Condo/Co-op,933 Addison St Unit A,Berkeley,CA,94710,499000,2,1.0,West Berkeley,744,,1986,46,671,476,Active,,,http://www.redfin.com/CA/Berkeley/933-Addison-St-94710/unit-A/home/1965710,Bridge MLS,40851027,N,Y,37.867487,-122.2946952
MLS Listing,,Condo/Co-op,8167 Vineyard Ave #88,Rancho Cucamonga,CA,91730,375000,3,2.5,688 - Rancho Cucamonga,1221,1221,1986,46,307,285,Active,,,http://www.redfin.com/CA/Rancho-Cucamonga/8167-Vineyard-Ave-91730/unit-88/home/3290237,CRMLS,EV19017992,N,Y,34.105387,-117.6090856
MLS Listing,,Condo/Co-op,797 Wonder Ln,Costa Mesa,CA,92627,799900,3,3.0,C2 - Southwest Costa Mesa,1738,2500,2016,47,460,125,Active,,,http://www.redfin.com/CA/Costa-Mesa/797-Wonder-Ln-92627/home/143915739,CRMLS,OC19002379,N,Y,33.6479699,-117.9314638
MLS Listing,,Single Family Residential,13757 Oak Crest Dr,Cerritos,CA,90703,949900,5,3.0,RA - Cerritos North of 91 Frwy,2520,6303,1971,47,377,,Active,March-17-2019 01:00 PM,March-17-2019 04:00 PM,http://www.redfin.com/CA/Cerritos/13757-Oak-Crest-Dr-90703/home/7459418,CRMLS,PW19004324,N,Y,33.8782854,-118.0379803
MLS Listing,,Single Family Residential,25711 Wood Brook Rd,Laguna Hills,CA,92653,1035000,4,2.5,S2 - Laguna Hills,2880,6325,1989,47,359,125,Active,,,http://www.redfin.com/CA/Laguna-Hills/25711-Wood-Brook-Rd-92653/home/4865158,CRMLS,OC19015293,N,Y,33.5775349,-117.6813887
MLS Listing,,Condo/Co-op,3241 San Amadeo Unit 1D,Laguna Woods,CA,92637,449900,2,2.0,LW - Laguna Woods,1175,,1972,47,383,657,Active,,,http://www.redfin.com/CA/Laguna-Woods/3241-San-Amadeo-92637/unit-1D/home/5341050,CRMLS,OC19016671,N,Y,33.6065453,-117.7428228
MLS Listing,,Condo/Co-op,1006 Terra Bella,Irvine,CA,92602,585000,2,2.5,NK - Northpark,1204,,2000,47,486,444,Active,,,http://www.redfin.com/CA/Irvine/1006-Terra-Bella-92602/home/5794328,CRMLS,OC19017374,N,Y,33.7288585,-117.7745165
MLS Listing,,Townhouse,571 Kiholo Ter,SUNNYVALE,CA,94089,1460000,3,2.5,SUNNYVALE,1600,1066,2004,47,913,250,Active,,,http://www.redfin.com/CA/Sunnyvale/571-Kiholo-Ter-94089/home/1053528,MLSListings,ML81735229,N,Y,37.4019112,-122.0120381
MLS Listing,,Condo/Co-op,1042 Jackson St,San Francisco,CA,94133,1675000,4,3.0,Nob Hill,1600,,1920,48,1047,410,Active,,,http://www.redfin.com/CA/San-Francisco/1042-Jackson-St-94133/home/1450579,San Francisco MLS,480422,N,Y,37.7954586,-122.4122859
MLS Listing,,Single Family Residential,191 San Felipe Ave,San Francisco,CA,94127,2495000,3,3.0,Monterey Heights,2850,3933,1926,48,875,,Active,,,http://www.redfin.com/CA/San-Francisco/191-San-Felipe-Ave-94127/home/1212225,San Francisco MLS,480415,N,Y,37.7323193,-122.4634647
MLS Listing,,Condo/Co-op,28542 Pietro Dr,Valencia,CA,91354,527000,3,2.5,VLWC - Valencia West Creek,1730,80717,2009,48,305,261,Active,,,http://www.redfin.com/CA/Valencia/28542-N-Pietro-Dr-91354/unit-18/home/17227253,CRMLS,BB19016792,N,Y,34.45734,-118.557738
MLS Listing,,Single Family Residential,2595 Sulphur Dr,Hayward,CA,94541,774000,3,2.5,Fairview,1621,5076,1956,48,477,,Active,,,http://www.redfin.com/CA/Hayward/2595-Sulphur-Dr-94541/home/1472897,Bridge MLS,40850733,N,Y,37.6717806,-122.0538921
MLS Listing,,Multi-Family (2-4 Unit),4033 51st St,Sacramento,CA,95820,349900,3,2.0,Sacramento Elder Creek/Fruitridge,1546,6207,1935,48,,,Active,,,http://www.redfin.com/CA/Sacramento/4033-51st-St-95820/home/19413444,MetroList,19004208,N,Y,38.5377273,-121.4464772
MLS Listing,,Single Family Residential,420 S Benton Way,Los Angeles,CA,90057,599000,2,1.0,C23 - Metropolitan,842,1338,1922,48,711,,Active,,,http://www.redfin.com/CA/Los-Angeles/420-S-Benton-Way-90057/home/6935218,CRMLS,CV19015988,N,Y,34.0646471,-118.2808471
MLS Listing,,Condo/Co-op,359 Waller St #2,San Francisco,CA,94117,1175000,3,1.0,Hayes Valley,1163,,1905,48,1010,333,Active,,,http://www.redfin.com/CA/San-Francisco/359-Waller-St-94117/unit-2/home/12354756,San Francisco MLS,480387,N,Y,37.7710786,-122.4295845
MLS Listing,,Single Family Residential,26 Withers Ct,Lafayette,CA,94549,1849000,5,5.0,Lafayette,4350,20000,2017,52,425,,Active,,,http://www.redfin.com/CA/Lafayette/26-Withers-Ct-94549/home/23405614,Bridge MLS,40850459,N,Y,37.9331009,-122.0942428
MLS Listing,,Single Family Residential,400 Baja Ct,Brentwood,CA,94513,529900,4,3.0,Brentwood,2345,2719,2017,52,226,97,Active,,,http://www.redfin.com/CA/Brentwood/400-Baja-Ct-94513/home/112887679,Bridge MLS,40850414,N,Y,37.9196308,-121.6860009
MLS Listing,,Single Family Residential,3129 Zeus Ln,Roseville,CA,95661,399000,2,2.0,Roseville-East/Zip 95661,1425,2470,1998,52,,100,Active,,,http://www.redfin.com/CA/Roseville/3129-Zeus-Ln-95661/home/19515776,MetroList,19003344,N,Y,38.7516135,-121.2282334
